2 months ago,2 місяці тому,
2 weeks ago,2 тижні тому,
2 years ago,2 роки тому,
3 minutes ago,3 хвилини тому,
30 minutes,30 хвилин,
4 hours,4 години,
4:3,4:3,
5 Records,5 Рекордів,
5 days ago,5 днів тому,
; not allowed in condition,; not allowed in condition,
<b>{0}</b> is not a valid URL,<b>{0}</b> is not a valid URL,
<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>,<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>,
<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,
"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens",
A featured post must have a cover image,A featured post must have a cover image,
A field with the name {0} already exists in {1},A field with the name {0} already exists in {1},
A file with same name {} already exists,A file with same name {} already exists,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,
A new account has been created for you at {0},A new account has been created for you at {0},
A recurring {0} {1} has been created for you via Auto Repeat {2}.,A recurring {0} {1} has been created for you via Auto Repeat {2}.,
A symbol for this currency. For e.g. $,A symbol for this currency. For e.g. $,
A template already exists for field {0} of {1},A template already exists for field {0} of {1},
A word by itself is easy to guess.,A word by itself is easy to guess.,
A0,A0,
A1,A1,
A2,A2,
A3,A3,
A4,A4,
A5,A5,
A6,A6,
A7,A7,
A8,A8,
A9,A9,
ALL,ВСІ,
API,API,
API Access,Доступ до API,
API Endpoint,Кінцева точка API,
API Endpoint Args,Аргументи кінцевої точки API,
API Key,Ключ API,
API Key cannot be regenerated,Ключ API не може бути регенерований,
API Method,Метод API,
API Secret,Секрет API,
About,About,
About Us,Про нас,
About Us Settings,Про нас Налаштування,
About Us Team Member,Про нас Член команди,
About {0} minute remaining,Залишилося близько {0} хвилин,
About {0} minutes remaining,Залишилося близько {0} хвилин,
About {0} seconds remaining,Залишилося близько {0} секунд,
Access Key ID,Ідентифікатор ключа доступу,
Access Key Secret,Секретний ключ доступу,
Access Log,Журнал доступу,
Access Token,Токен доступу,
Access Token URL,URL-адреса токену доступу,
Access not allowed from this IP Address,Доступ заборонено з цієї IP-адреси,
Account,Обліковий запис,
Account Deletion Settings,Налаштування видалення облікового запису,
Accounts Manager,Менеджер по роботі з клієнтами,
Accounts User,Облікові записи Користувач,
Action,Дія,
Action / Route,Дія / Маршрут,
Action Complete,Дію завершено,
Action Failed,Дію не виконано,
Action Label,Мітка дії,
Action Timeout (Seconds),Тайм-аут дії (секунди),
Action Type,Тип дії,
Action {0} completed successfully on {1} {2}. View it {3},Дію {0} успішно завершено на {1} {2}. Переглянути {3},
Action {0} failed on {1} {2}. View it {3},Дія {0} не вдалася на {1} {2}. Переглянути {3},
Actions,Дії,
Activate,Активувати,
Active,Активний,
Active Directory,Активна директорія,
Active Domains,Активні домени,
Active Sessions,Активні сесії,
Activity,Діяльність,
Activity Log,Журнал активності,
Add,Додати,
Add / Remove Columns,Додавання / видалення стовпців,
Add / Update,Додати / оновити,
Add A New Rule,Додати нове правило,
Add Attachment,Додати вкладення,
Add Background Image,Додати фонове зображення,
Add Border at Bottom,Додати рамку внизу,
Add Border at Top,Додати рамку зверху,
Add Chart to Dashboard,Додати діаграму на інформаційну панель,
Add Child,Додати дитину,
Add Column,Додати стовпець,
Add Contact,Додати контакт,
Add Contacts,Додати контакти,
Add Container,Додати контейнер,
Add Custom Tags,Додавання власних тегів,
Add Filter,Додати фільтр,
Add Filters,Додати фільтри,
Add Gray Background,Додати сіре тло,
Add Group,Додати групу,
Add Multiple,Додати декілька,
Add New,Додати нове,
Add New Permission Rule,Додати нове правило дозволів,
Add Participants,Додати учасників,
Add Review,Додати відгук,
Add Roles,Додати ролі,
Add Row,Додати рядок,
Add Signature,Додати підпис,
Add Space at Bottom,Додати пробіл внизу,
Add Space at Top,Додати пробіл вгорі,
Add Subscribers,Додати підписників,
Add Tags,Додати теги,
Add Template,Додати шаблон,
Add Total Row,Додати загальний рядок,
Add Unsubscribe Link,Додати посилання для відписки,
Add User Permissions,Додавання дозволів користувача,
Add Video Conferencing,Додати відеоконференції,
Add a Filter,Додати фільтр,
Add a New Role,Додати нову роль,
Add a Row,Додати рядок,
Add a comment,Додати коментар,
Add a new section,Додати новий розділ,
Add a row above the current row,Додати рядок над поточним рядком,
Add a row at the bottom,Додайте рядок внизу,
Add a row at the top,Додайте рядок зверху,
Add a row below the current row,Додати рядок під поточним рядком,
Add a {0} Chart,Додати {0} діаграму,
Add column,Додати стовпець,
Add field,Додати поле,
Add field below,Додайте поле нижче,
Add new tab,Додати нову вкладку,
Add page break,Додати розрив сторінки,
Add script for Child Table,Додати скрипт для дочірньої таблиці,
Add section above,Додати розділ вище,
Add tab,Додати вкладку,
Add to Dashboard,Додати до Панелі моніторингу,
Add to ToDo,Додати до списку справ,
Add to table,Додати до таблиці,
Add to this activity by mailing to {0},"Долучайтеся до цієї активності, написавши на {0}",
Add {0},Додати {0},
Add/Update Filter,Додавання/оновлення фільтра,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Додано HTML у розділі &lt;head&gt; веб-сторінки, який в основному використовується для перевірки сайту та SEO",
Added default log doctypes: {},Додано до типи журналів за замовчуванням: {},
Added {0},Додано {0},
Added {0} ({1}),Додано {0} ({1}),
Adding System Manager to this User as there must be atleast one System Manager,"Додавання системного адміністратора до цього користувача, оскільки має бути принаймні один системний адміністратор",
Additional Permissions,Додаткові дозволи,
Address,Адреса,
Address Line 1,Адресний рядок 1,
Address Line 2,Адресний рядок 2,
Address Template,Шаблон адреси,
Address Title,Адреса Назва,
Address Title is mandatory.,Назва адреси є обов'язковою.,
Address Type,Тип адреси,
Address and other legal information you may want to put in the footer.,Адресу та іншу юридичну інформацію ви можете розмістити в нижньому колонтитулі.,
Addresses,Адреси,
Addresses And Contacts,Адреси та контакти,
Adds a custom client script to a DocType,Додає користувацький клієнтський скрипт до DocType,
Adds a custom field to a DocType,Додає кастомне поле до DocType,
Administration,Адміністрація,
Administrator,Адміністратор,
Administrator Logged In,Адміністратор увійшов в систему,
Administrator accessed {0} on {1} via IP Address {2}.,Адміністратор отримав доступ до {0} на {1} через IP-адресу {2}.,
Advanced,Розширений,
Advanced Control,Розширений контроль,
Advanced Search,Розширений пошук,
Advanced Settings,Додаткові налаштування,
After Cancel,Після скасування,
After Delete,Після видалення,
After Insert,Після вставки,
After Save,Після збереження,
After Save (Submitted Document),Після збереження (надісланого документа),
After Submission,Після подання заявки,
After Submit,Після надсилання,
Aggregate Field is required to create a number card,Поле ""Агрегат"" є обов'язковим для створення номерної картки,
Aggregate Function Based On,Агрегована функція на основі,
Aggregate Function field is required to create a dashboard chart,Поле Агрегована функція є обов'язковим для створення діаграми дашборду,
Alert,Тривога!,
Align,Вирівняти.,
Align Labels to the Right,Вирівняти етикетки праворуч,
Align Right,Вирівняти праворуч,
Align Value,Вирівняти значення,
All,Усе.,
All Day,Цілий день.,
All Images attached to Website Slideshow should be public,"Всі зображення, прикріплені до слайд-шоу на сайті, повинні бути загальнодоступними",
All Records,Всі записи,
All Results,Всі результати,
All Submissions,Всі заявки,
All Time,Всі часи,
All customizations will be removed. Please confirm.,"Всі налаштування будуть видалені. Будь ласка, підтвердіть.",
All fields are necessary to submit the comment.,Усі поля є обов'язковими для заповнення.,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","Всі можливі стани документообігу та ролі документообігу. Параметри статусу документу: 0 - ""Збережено"", 1 - ""Надіслано"" і 2 - ""Скасовано""",
All-uppercase is almost as easy to guess as all-lowercase.,"Про великі літери майже так само легко здогадатися, як і про малі.",
Allocated To,Виділено на,
Allot Points To Assigned Users,Розподіл балів між призначеними користувачами,
Allow,Дозвольте,
Allow API Indexing Access,Дозволити доступ до індексації API,
Allow Auto Repeat,Дозволити автоматичний повтор,
Allow Bulk Edit,Дозволити групове редагування,
Allow Comments,Дозволити коментарі,
Allow Consecutive Login Attempts ,Дозволити послідовні спроби входу,
Allow Delete,Дозволити видалення,
Allow Dropbox Access,Дозволити доступ до Dropbox,
Allow Editing After Submit,Дозволити редагування після відправлення,
Allow Google Calendar Access,Дозволити доступ до календаря Google,
Allow Google Contacts Access,Дозволити доступ до контактів Google,
Allow Google Drive Access,Дозволити доступ до Google Диску,
Allow Guest,Дозволити гостю,
Allow Guest to Comments,Дозволити гостю коментувати,
Allow Guest to View,Дозволити гостю перегляд,
Allow Guest to comment,Дозволити гостю коментувати,
Allow Guests to Upload Files,Дозволити гостям завантажувати файли,
Allow Import (via Data Import Tool),Дозволити імпорт (за допомогою Інструменту імпорту даних),
Allow Incomplete Forms,Дозволити незаповнені форми,
Allow Login After Fail,Дозволити вхід після невдачі,
Allow Login using Mobile Number,Дозволити вхід за номером мобільного телефону,
Allow Login using User Name,Дозволити вхід за допомогою імені користувача,
Allow Modules,Дозволити модулі,
Allow Multiple Responses,Дозволити кілька відповідей,
Allow Older Web View Links (Insecure),Дозволити старіші посилання для перегляду веб-сторінок (небезпечно),
Allow Print,Дозволити друк,
Allow Print for Cancelled,Дозволити друк для скасованих,
Allow Print for Draft,Дозволити друк для чернеток,
Allow Read On All Link Options,Дозволити читання за всіма параметрами посилання,
Allow Rename,Дозволити перейменування,
Allow Roles,Дозволити ролі,
Allow Self Approval,Дозвольте самоствердження,
Allow Sending Usage Data for Improving Applications,Дозвольте надсилати дані про використання для покращення програм,
Allow approval for creator of the document,Дозволити схвалення для автора документа,
Allow document creation via Email,Дозволити створення документів через електронну пошту,
Allow events in timeline,Дозволити події на шкалі часу,
Allow in Quick Entry,Дозволити швидкий вхід,
Allow on Submit,Дозволити при надсиланні,
Allow only one session per user,Дозволяти лише один сеанс для одного користувача,
Allow page break inside tables,Дозволити розрив сторінки всередині таблиць,
Allow recording my first session to improve user experience,"Дозволити запис мого першого сеансу, щоб покращити взаємодію з користувачем",
Allow saving if mandatory fields are not filled,"Дозволити збереження, якщо обов'язкові поля не заповнені",
Allow sending usage data for improving applications,Дозвольте надсилати дані про використання для покращення програм,
Allow user to login only after this hour (0-24),Дозволити користувачеві увійти в систему тільки після цієї години (0-24),
Allow user to login only before this hour (0-24),Дозволити користувачеві входити в систему тільки до цієї години (0-24),
"Allow users to log in without a password, using a login link sent to their email","Дозвольте користувачам входити без пароля, використовуючи посилання для входу, надіслане на їхню електронну пошту",
Allowed,Дозволено,
Allowed File Extensions,Допустимі розширення файлів,
Allowed In Mentions,Дозволено у згадках,
Allowed Modules,Дозволені модулі,
"Allowing DocType, DocType. Be careful!","Дозволяє DocType, DocType. Обережно!",
Already Registered,Вже зареєстровано,
Already in the following Users ToDo list:{0},Вже в наступних списках справ користувачів:{0},
Also adding the dependent currency field {0},Також додано залежне поле валюти {0},
Also adding the status dependency field {0},Також додано поле залежності від статусу {0},
Alternative Email ID,Альтернативний ідентифікатор електронної пошти,
Always add ""Draft"" Heading for printing draft documents,Завжди додавайте заголовок ""Чернетка"" для друку чернеток документів,
Always use this email address as sender address,Завжди використовуйте цю електронну адресу як адресу відправника,
Always use this name as sender name,Завжди використовуйте це ім'я як ім'я відправника,
Amend,Змінити,
Amend Counter,Змінити лічильник,
Amended Document Naming Settings,Змінено налаштування іменування документів,
Amended Documents,Змінені документи,
Amended From,Зі змінами та доповненнями від,
Amending,Внесення змін,
Amendment Naming Override,Перевизначення імен поправок,
Amendment naming rules updated.,Оновлені правила іменування поправок.,
An error occurred while setting Session Defaults,Виникла помилка під час налаштування параметрів сеансу за замовчуванням,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Файл іконки з розширенням .ico. Має бути розміром 16 x 16 px. Створюється за допомогою генератора фавіконів. [favicon-generator.org].,
An unexpected error occurred while authorizing {}.,Під час авторизації {} сталася неочікувана помилка.,
Analytics,Аналітика,
Ancestors Of,Предки,
Annual,Щорічний,
Anonymization Matrix,Матриця анонімізації,
Anonymous,Анонім,
Another transaction is blocking this one. Please try again in a few seconds.,"Інша транзакція блокує цю. Будь ласка, спробуйте ще раз через кілька секунд.",
"Another {0} with name {1} exists, select another name","Існує інший {0} з іменем {1}, виберіть інше ім'я",
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,"Можна використовувати будь-яку рядкову мову принтера. Для написання сирих команд потрібні знання рідної мови принтера, наданої виробником принтера. Будь ласка, зверніться до посібника розробника, наданого виробником принтера, щоб дізнатися, як писати команди рідною мовою. Ці команди відображаються на стороні сервера за допомогою мови шаблонів Jinja.",
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","Окрім системного адміністратора, ролі з правом ""Встановити дозволи користувача"" можуть встановлювати дозволи для інших користувачів для цього типу документа.",
App,Додаток,
App Access Key,Ключ доступу до програми,
App Access Key and/or Secret Key are not present.,Ключ доступу до програми та/або секретний ключ відсутні.,
App Client ID,Ідентифікатор клієнта програми,
App Client Secret,Секрет клієнта програми,
App ID,Ідентифікатор програми,
App Logo,Логотип програми,
App Name,Назва програми,
App Secret Key,Секретний ключ додатку,
App not found for module: {0},Додаток не знайдено для модуля: {0},
App {0} is not installed,Додаток {0} не встановлено,
Append Emails to Sent Folder,Додавання імейлів до папки ""Надіслані,
Append To,Додати до,
Append To can be one of {0},Append To може бути одним з {0},
Append as communication against this DocType (must have fields: ""Sender"" and ""Subject""). These fields can be defined in the email settings section of the appended doctype.,Додайте як повідомлення до цього доктринального типу (обов'язково з полями ""Відправник"" і ""Тема""). Ці поля можна визначити у розділі налаштувань електронної пошти доданого доктрини.,
Applicable Document Types,Застосовні типи документів,
Applicable For,Застосовується для,
Application Logo,Логотип програми,
Application Name,Назва заявки,
Application Version,Версія програми,
Applied On,Нанесено на,
Apply Assignment Rule,Застосувати правило призначення,
Apply Document Permissions,Застосувати права доступу до документів,
Apply Filters,Застосувати фільтри,
Apply Only Once,Подати заявку лише один раз,
Apply Strict User Permissions,Застосовуйте суворі права доступу для користувачів,
Apply To,Подати заявку на,
Apply To All Document Types,Застосовується до всіх типів документів,
Apply User Permission On,Застосувати дозвіл користувача Увімкнено,
Apply this rule if the User is the Owner,"Застосовуйте це правило, якщо Користувач є Власником",
Apply this rule only once per document,Застосовуйте це правило лише один раз для кожного документа,
Apply to all Documents Types,Застосовується до всіх типів документів,
Applying: {0},Подаю заявку: {0},
Appreciate,Вдячні,
Appreciation,Вдячність,
Approval Required,Потрібне схвалення,
Archive,Архів,
Archived,Архівовано,
Archived Columns,Архівні колонки,
Are you sure you want to delete all rows?,"Ви впевнені, що хочете видалити всі рядки?",
Are you sure you want to delete page {0}?,Ви дійсно хочете видалити сторінку {0}?,
Are you sure you want to delete the attachment?,"Ви впевнені, що хочете видалити вкладення?",
Are you sure you want to delete the column? All the fields in the column will be moved to the previous column.,"Ви впевнені, що хочете видалити стовпець? Всі поля в стовпчику будуть переміщені до попереднього стовпчика.",
Are you sure you want to delete the section? All the columns along with fields in the section will be moved to the previous section.,"Ви впевнені, що хочете видалити розділ? Всі стовпці разом з полями розділу будуть перенесені до попереднього розділу.",
Are you sure you want to delete the tab? All the sections along with fields in the tab will be moved to the previous tab.,"Ви впевнені, що хочете видалити вкладку? Всі розділи разом з полями у вкладці будуть перенесені на попередню вкладку.",
Are you sure you want to discard the changes?,"Ви впевнені, що хочете відмовитися від змін?",
Are you sure you want to generate a new report?,"Ви впевнені, що хочете створити новий звіт?",
Are you sure you want to merge {0} with {1}?,"Ви впевнені, що хочете об'єднати {0} з {1}?",
Are you sure you want to proceed?,"Ви впевнені, що хочете продовжити?",
Are you sure you want to re-enable scheduler?,"Ви впевнені, що хочете знову ввімкнути планувальник?",
Are you sure you want to relink this communication to {0}?,"Ви впевнені, що хочете пов'язати це повідомлення з {0}?",
Are you sure you want to remove all failed jobs?,"Ви впевнені, що хочете видалити всі невдалі завдання?",
Are you sure you want to remove the {0} filter?,"Ви впевнені, що хочете видалити фільтр {0}?",
Are you sure you want to reset all customizations?,"Ви впевнені, що хочете скинути всі налаштування?",
Are you sure you want to save this document?,"Ви впевнені, що хочете зберегти цей документ?",
Are you sure you want to send this newsletter now?,"Ви впевнені, що хочете відправити цю розсилку зараз?",
Are you sure?,Ти впевнений?,
Arguments,Аргументи,
Arial,Arial,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",Найкраще не призначати однаковий набір правил дозволів різним ролям. Замість цього призначайте кілька ролей одному користувачеві.,
"As document sharing is disabled, please give them the required permissions before assigning.","Оскільки спільний доступ до документів вимкнено, будь ласка, надайте їм необхідні дозволи перед призначенням.",
"As per your request, your account and data on {0} associated with email {1} has been permanently deleted","Відповідно до вашого запиту, ваш обліковий запис і дані на {0}, пов'язані з імейлом {1}, було видалено назавжди",
Asc,Asc,
Asc Web,Asc Web,
Assign Condition,Призначити умову,
Assign To,Призначити Кому,
Assign To Users,Призначити користувачам,
Assign a user,Призначити користувача,
"Assign one by one, in sequence","Призначайте по черзі, в послідовності",
Assign to me,Доручіть мені,
Assign to the one who has the least assignments,"Призначити тому, хто має найменше завдань",
Assign to the user set in this field,"Призначити користувачеві, вказаному в цьому полі",
Assigned,Призначено,
Assigned By,Призначено,
Assigned By Full Name,Призначено за ПІБ,
Assigned By Me,Призначено мною,
Assigned To,Призначено для,
Assigned To/Owner,Призначено/власник,
Assigning...,Присвоєння...,
Assignment,Завдання,
Assignment Completed,Завдання виконано,
Assignment Days,Дні призначення,
Assignment Day{0} {1} has been repeated.,День призначення{0} {1} повторюється.,
Assignment Rule,Правило призначення,
Assignment Rule Day,День правил призначення,
Assignment Rule User,Користувач правила призначення,
Assignment Rule is not allowed on {0} document type,Правило присвоєння не дозволено для типу документа {0},
Assignment Rules,Правила призначення,
Assignment Update on {0},Оновлення призначення на {0},
Assignment for {0} {1},Призначення для {0} {1},
Assignment of {0} removed by {1},"Присвоєння {0}, видаленого {1}",
Assignments,Завдання,
At least one column is required to show in the grid.,Принаймні один стовпець обов'язково повинен відображатися в сітці.,
Atleast one field is required in Web Form Fields Table,Принаймні одне поле є обов'язковим у таблиці полів веб-форми,
Atleast one field of Parent Document Type is mandatory,Принаймні одне поле типу батьківського документа є обов'язковим,
Attach,Attach,
Attach Document Print,Прикріпити документ Друк,
Attach Image,Attach Image,
Attach Package,Прикріпити пакет,
Attach Print,Прикріпити друк,
Attach a web link,Прикріпіть веб-посилання,
Attach files / urls and add in table.,Прикріпіть файли / URL-адреси та додайте в таблицю.,
Attached File,Прикріплений файл,
Attached To DocType,Прикріплено до DocType,
Attached To Field,Прикріплено до поля,
Attached To Name,Прикріплено до імені,
Attached To Name must be a string or an integer,Attached To Name має бути рядком або цілим числом,
Attachment,Вкладення,
Attachment Limit (MB),Обмеження на розмір вкладення (МБ),
Attachment Limit Reached,Досягнуто ліміт вкладень,
Attachment Link,Вкладене посилання,
Attachment Removed,Вкладення Видалено,
Attachments,Вкладення,
Attempting Connection to QZ Tray...,Спроба підключення до лотка QZ...,
Attempting to launch QZ Tray...,Спроба запуску QZ Tray...,
Audience,Аудиторія,
Audit System Hooks,Хуки системи аудиту,
Audit Trail,Аудиторський слід,
Auth URL Data,Дані URL-адреси автора,
Authentication,Аутентифікація,
Authentication Apps you can use are: ,"Програми для автентифікації, які ви можете використовувати:",
Authentication failed while receiving emails from Email Account: {0}.,Не вдалося пройти автентифікацію під час отримання імейлів з акаунта електронної пошти: {0}.,
Author,Автор,
Authorization Code,Код авторизації,
Authorization URI,URI авторизації,
Authorization error for {}.,Помилка авторизації для {}.,
Authorize API Access,Авторизація доступу до API,
Authorize API Indexing  Access,Авторизація доступу до індексації API,
Authorize Google Calendar Access,Авторизація доступу до календаря Google,
Authorize Google Contacts Access,Авторизація доступу до контактів Google,
Authorize Google Drive Access,Авторизація доступу до Google Диску,
Authorize URL,Авторизувати URL-адресу,
Authorized,Уповноважений,
Auto,Авто,
Auto Account Deletion within (Hours),Автоматичне видалення облікового запису протягом (годин),
Auto Email Report,Автоматичний звіт по електронній пошті,
Auto Name,Автоматичне ім'я,
Auto Repeat,Автоматичний повтор,
Auto Repeat Day,День автоматичного повтору,
Auto Repeat Day{0} {1} has been repeated.,Автоповтор Day{0} {1} було повторено.,
Auto Repeat Document Creation Failed,Помилка автоматичного повторного створення документа,
Auto Repeat Schedule,Розклад автоматичного повтору,
Auto Repeat created for this document,"Автоповтор, створений для цього документа",
Auto Repeat failed for {0},Auto Repeat failed for {0},
Auto Reply,Автовідповідь,
Auto Reply Message,Повідомлення з автоматичною відповіддю,
Auto assignment failed: {0},Автоматичне призначення не вдалося: {0},
Auto follow documents that are assigned to you,Автоматичне відстеження призначених вам документів,
Auto follow documents that are shared with you,"Автоматичне відстеження документів, до яких надано спільний доступ",
Auto follow documents that you Like,"Автоматичне відстеження документів, які вам подобаються",
Auto follow documents that you comment on,"Автоматичне відстеження документів, які ви коментуєте",
Auto follow documents that you create,"Автоматичне відстеження документів, які ви створюєте",
Autocomplete,Autocomplete,
Autoincrement,Автоінкремент,
Automated Message,Автоматичне повідомлення,
Automatic,Автоматично,
Automatic Linking can be activated only for one Email Account.,Автоматичну прив'язку можна активувати лише для одного акаунта електронної пошти.,
Automatic Linking can be activated only if Incoming is enabled.,"Автоматичне зв'язування можна активувати, лише якщо увімкнено Вхідні.",
Automatically Assign Documents to Users,Автоматичне призначення документів користувачам,
Automation,Автоматизація,
Avatar,Аватар,
Average,Середній показник,
Average of {0},Середнє значення {0},
Avoid dates and years that are associated with you.,"Уникайте дат і років, які асоціюються з вами.",
Avoid recent years.,Уникайте останніх років.,
Avoid sequences like abc or 6543 as they are easy to guess,"Уникайте послідовностей на кшталт abc або 6543, оскільки їх легко вгадати",
Avoid years that are associated with you.,"Уникайте років, які асоціюються з вами.",
Awaiting Password,Очікування пароля,
Awaiting password,Очікування пароля,
Awesome Work,Чудова робота.,
"Awesome, now try making an entry yourself","Чудово, тепер спробуйте зробити запис самостійно",
B,B,
B0,B0,
B1,B1,
B10,B10,
B2,B2,
B3,B3,
B4,B4,
B5,B5,
B6,B6,
B7,B7,
B8,B8,
B9,B9,
BCC,BCC,
Back,Назад,
Back to Desk,Повернутися до столу,
Back to Home,Додому,
Back to Login,Повернутися до входу,
Background Color,Колір фону,
Background Image,Фонове зображення,
Background Jobs,Background Jobs,
Background Workers,Підсобні працівники,
Backing up to Google Drive.,Створення резервної копії на Google Диску.,
Backup Details,Деталі резервного копіювання,
Backup Encryption Key,Резервний ключ шифрування,
Backup Files,Файли резервних копій,
Backup Folder ID,Ідентифікатор папки резервної копії,
Backup Folder Name,Ім'я папки резервної копії,
Backup Frequency,Частота резервного копіювання,
Backup job is already queued. You will receive an email with the download link,Завдання резервного копіювання вже в черзі. Ви отримаєте лист із посиланням для завантаження,
Backup public and private files along with the database.,Створюйте резервні копії публічних і приватних файлів разом з базою даних.,
Backups,Резервні копії,
Banker's Rounding,Банкірське заокруглення,
Banker's Rounding (legacy),Банківське заокруглення (спадщина),
Banner,Банер,
Banner HTML,Банер HTML,
Banner Image,Зображення банера,
Banner is above the Top Menu Bar.,Банер знаходиться над верхнім рядком меню.,
Bar,Бар,
Barcode,Barcode,
Base Distinguished Name (DN),Базове відмітне ім'я (DN),
Base URL,Базова URL-адреса,
Based On,На основі,
Based on Field,На основі польових досліджень,
Based on Permissions For User,На основі дозволів для користувача,
Basic,Базовий,
Basic Info,Основна інформація,
Before Cancel,Перед скасуванням,
Before Delete,Перед видаленням,
Before Insert,Перед вставкою,
Before Save,Перед збереженням,
Before Save (Submitted Document),Перед збереженням (надісланого документа),
Before Submit,Перед відправкою,
Before Validate,Перед перевіркою,
Beginner,Початківець,
Beginning with,Починаючи з,
Beta,Бета,
Better add a few more letters or another word,Краще додати ще кілька літер або інше слово,
Between,Між,
Billing,Виставлення рахунків,
Billing Contact,Контакт для виставлення рахунків,
Bio,Біо,
Birth Date,Дата народження,
Blank Template,Порожній шаблон,
Block Module,Блок-модуль,
Block Modules,Блокові модулі,
Blocked,Заблоковано.,
Blog,Блог,
Blog Category,Категорія блогу,
Blog Intro,Вступ до блогу,
Blog Introduction,Вступ до блогу,
Blog Post,Допис у блозі,
Blog Settings,Налаштування блогу,
Blog Title,Назва блогу,
Blogger,Блогер,
Blue,Синій,
Bold,Сміливіше.,
Bot,Бот,
Both DocType and Name required,Обов'язковими є тип документа та ім'я,
Both login and password required,Потрібні логін і пароль,
Bottom,Дно.,
Bottom Center,Внизу по центру,
Bottom Left,Внизу зліва,
Bottom Right,Внизу праворуч,
Bounced,Відскочив.,
Brand,Бренд,
Brand HTML,Бренд HTML,
Brand Image,Імідж бренду,
Brand Logo,Логотип бренду,
Breadcrumbs,Панірувальні сухарі,
Browse by Category,Переглянути за категоріями,
Browse by category,Переглянути за категоріями,
Browser,Браузер,
Browser Version,Версія для браузера,
Browser not supported,Браузер не підтримується,
Brute Force Security,Безпека грубої сили,
Bucket Name,Назва відра,
Bucket {0} not found.,Відро {0} не знайдено.,
Build {0},Побудувати {0},
Bulk Actions,Масові дії,
Bulk Delete,Масове видалення,
Bulk Edit,Масове редагування,
